invoice_id,age,annual_income,days_past_due,outstanding_amount,true_pd,true_lgd,default_flag
INV_00025,36.1,56534.16,28,6617.85,0.15324462027250962,0.9487051529013063,0
INV_00026,23.5,66380.71,7,5546.49,0.09847405656366075,0.8007040572076505,0
INV_00027,38.8,59045.82,21,6008.16,0.13330422862217128,0.5032413209273079,1
INV_00028,29.0,25321.99,14,100.0,0.1455386901935391,0.9477853884155857,0
INV_00029,32.1,72629.49,20,6991.42,0.12005576190377006,0.4408251544922742,0
INV_00030,29.0,32175.6,12,4290.29,0.13454782149838246,0.7418854407187961,1
INV_00031,53.5,65827.14,16,5856.57,0.1166354347504269,0.787446435504637,0
INV_00032,34.9,67262.36,90,6903.07,0.37533511352867105,0.8561972959370524,0
INV_00033,24.4,28267.4,8,2297.83,0.12839140060920842,0.7333722869986956,0
INV_00034,43.2,81825.64,5,7323.16,0.08561751881778205,0.6404087059986323,0
INV_00035,22.8,123744.06,12,13345.89,0.0737648503892709,0.8666632910854927,0
INV_00036,37.1,46695.35,15,3624.28,0.12948223191173616,0.9539389151114949,1
INV_00037,18.0,65833.78,2,6876.34,0.09001980126197108,0.8685128232673183,0
INV_00038,21.7,43196.07,33,4627.96,0.1811095778863655,0.6201671281441552,0
INV_00039,37.0,32017.97,11,2350.0,0.13229706466002397,0.8888838600047381,0
INV_00040,42.4,85898.75,11,8745.56,0.0932652824037635,0.6170946031301039,0
INV_00041,36.7,66651.28,22,5730.18,0.12931894464627378,0.40395328269308245,0
INV_00042,33.8,39087.54,30,4430.55,0.1764349089737137,0.533824752738622,0
INV_00043,32.0,32523.7,86,1937.42,0.41627056095009285,0.6199242989786512,0
INV_00044,20.2,127474.37,4,12407.83,0.061661880272470264,0.6882825615426356,0
INV_00045,27.8,29686.73,9,2715.9,0.1295428580851454,0.7412382977483069,1
INV_00046,30.4,71317.86,4,8244.74,0.09011614738978989,0.8123855414190333,0
INV_00047,45.6,58078.06,43,5947.85,0.19601706623072698,0.69728652773824,0
INV_00048,38.4,77431.12,16,8698.13,0.10818146091004603,0.833176078013103,0
INV_00049,18.0,109305.48,39,11485.24,0.13376518772915613,0.8223283991468097,1
INV_00050,38.2,21624.95,85,2710.8,0.43067329780229296,0.8232305079727018,1
INV_00051,31.1,33881.46,16,3056.21,0.14291100732629167,0.8384694685786948,0
INV_00052,28.2,50484.0,3,6069.31,0.10150222545162686,0.7778328590477827,0
INV_00053,41.1,114016.81,9,11045.51,0.0743960690812501,0.9389090078296197,0
INV_00054,45.3,44032.84,1,2673.46,0.10204056593792356,0.9136773808622662,0
INV_00055,44.3,40429.48,38,3828.16,0.20011990873090682,0.40262461724137344,1
INV_00056,26.6,23183.78,1,2771.85,0.11686581290988118,0.730171655502939,0
INV_00057,31.9,38791.67,18,2272.54,0.14356975098591657,0.5013218672938498,0
INV_00058,38.3,70082.42,3,6123.14,0.08917003291941249,0.523835660143488,0
INV_00059,44.8,50635.37,1,3832.95,0.0977052136200342,0.7594660089720462,0
INV_00060,30.2,38390.67,6,4625.78,0.11604323893847812,0.7795812728440792,0
INV_00061,33.1,128352.25,17,14508.09,0.07865117228400641,0.8667150140545139,0
INV_00062,23.9,46587.1,2,4449.01,0.10222025378365178,0.5571422107875191,0
INV_00063,23.0,56622.63,20,6193.79,0.13296757298694953,0.6833041514643171,0
INV_00064,43.1,37424.07,23,4247.93,0.15804207350424562,0.6233760339661657,0
INV_00065,48.6,31933.63,70,4747.16,0.33991151959178667,0.9645011018761966,0
INV_00066,34.3,74842.38,46,6831.69,0.1866410808668756,0.9722914128046476,1
INV_00067,45.0,26670.27,17,2447.15,0.152126006543497,0.7884078010688834,0
INV_00068,38.6,67092.37,32,6368.47,0.15393958315282671,0.7829117482824118,0
INV_00069,28.5,62428.82,10,6318.25,0.10682684422747073,0.9861781915347212,1
INV_00070,38.6,33096.67,18,5813.98,0.14876129437861388,0.8390755390366511,1
INV_00071,50.4,35764.64,11,3607.27,0.1291866780616531,0.6867555452713203,0
INV_00072,34.6,46755.69,9,3820.86,0.11612005723282445,0.7922805585717524,0
INV_00073,50.6,31039.65,27,1949.47,0.17598993424305928,0.6509838361622438,1
INV_00074,18.0,24869.82,8,3739.63,0.131194594899586,0.8463359554114642,1
INV_00075,43.2,48929.39,10,4033.68,0.11660739577220193,0.6518643782365742,0
INV_00076,35.9,76796.74,10,8343.26,0.09721760026174729,0.5242195495753076,0
INV_00077,32.0,59522.64,41,5272.57,0.187983541356423,0.7944991610329188,0
INV_00078,35.9,91331.76,4,7866.48,0.07882495827092757,0.8563453262778077,0
INV_00079,18.0,44176.76,10,5022.88,0.12023160101811271,0.7164317658278835,0
INV_00080,32.8,54224.32,44,4791.69,0.20381709973908507,0.6690491780353768,0
INV_00081,38.6,35778.09,1,4003.23,0.1076999832063064,0.582963002385543,0
INV_00082,49.8,55363.36,60,6035.62,0.26095133860440417,0.9251082879880184,0
INV_00083,29.8,88696.26,46,9415.89,0.1717623192519878,0.8822534436567608,0
INV_00084,26.9,68065.53,11,6538.4,0.10488110150779051,0.47893065153680914,0
INV_00085,30.0,95445.56,22,10230.74,0.10742304854279223,0.7982475330145278,0
INV_00086,44.2,61191.18,95,5196.57,0.41048690277756605,0.8683514560639843,1
INV_00087,38.3,50767.08,17,2622.62,0.13078320139932223,0.8542390325661027,0
INV_00088,29.7,109964.0,3,11703.29,0.0681698203716612,0.5606843296575179,0
INV_00089,40.1,56437.17,39,5809.31,0.18514607867131613,0.8229603496458928,0
INV_00090,36.0,123097.49,3,11699.67,0.062322146106379386,0.6742940604413583,0
INV_00091,44.7,82781.0,6,6806.95,0.08669137416472897,0.4286559748705458,0
INV_00092,28.0,39011.05,42,1864.53,0.21539461312681127,0.6903065833712393,0
INV_00093,31.7,48418.17,6,4893.56,0.10873803119226838,0.6480038653616578,0
INV_00094,31.1,109443.6,28,12593.15,0.10949759977956403,0.5709136979134604,1
INV_00095,20.4,91349.1,12,8996.35,0.09165451217026666,0.7895588335299624,0
INV_00096,38.0,76204.75,29,7259.14,0.13794634221436552,0.9314363118024487,0
INV_00097,37.6,72001.49,6,7175.78,0.09313239292918674,0.6955869987638519,0
INV_00098,35.1,30037.03,11,5182.91,0.13396710535102377,0.7512671744923499,0
INV_00099,32.7,32458.3,8,3997.73,0.12500419432560894,0.9151352547271749,0
INV_00100,20.8,59735.82,6,5040.01,0.10098089271281194,0.4393217921923115,0
INV_00101,30.8,36068.88,8,3634.99,0.12214770873697793,0.7086374617935772,0
INV_00102,31.6,46929.99,8,5025.44,0.11389197418080751,0.6114945927692035,1
INV_00103,27.0,45418.8,63,3485.54,0.287710740022552,0.6999786404817036,0
INV_00104,33.4,70174.68,16,7776.61,0.11340287435876577,0.69762924642552,0
INV_00105,39.0,60876.44,13,5269.83,0.11401446214258606,0.6203599794494802,1
INV_00106,53.9,87645.62,14,7253.62,0.09750078699145802,0.8405212181330647,0
INV_00107,36.7,61447.47,112,6220.88,0.4966726333993696,0.7481261171316964,0
INV_00108,37.6,59172.91,22,5835.14,0.1355955815107059,0.5153539500790262,0
INV_00109,34.3,53317.62,25,5330.74,0.14833310291339255,0.9581325155199202,0
INV_00110,18.0,94759.37,8,8711.29,0.08309761082696804,0.5286076815140066,0
INV_00111,34.7,53592.75,13,4734.16,0.11950063517855578,0.4036853372463608,0
INV_00112,35.6,38525.9,5,4981.04,0.11384523516390721,0.7208904731481818,0
INV_00113,59.6,73777.95,24,7818.88,0.12810513663782624,0.6243302641426317,0
INV_00114,33.1,50521.25,9,4095.38,0.11332645443747386,0.9363293804729207,1
INV_00115,38.0,82252.35,28,6274.54,0.13042010520671882,0.8052341132683127,1
INV_00116,34.7,100173.88,5,9102.97,0.07569051660801121,0.8088643114573852,0
INV_00117,23.3,48464.67,11,5003.77,0.11910387448015274,0.7912333013524908,0
INV_00118,46.4,98264.62,13,9194.53,0.08919544664900454,0.5845087054816382,0
INV_00119,42.5,83363.99,4,7626.75,0.08315627766815908,0.8656728909803717,0
INV_00120,42.9,41381.52,2,3548.99,0.10576321103939294,0.9170467501727987,0
INV_00121,25.9,36339.1,8,3561.2,0.12193619758993209,0.5301332992711015,1
INV_00122,49.0,35171.42,16,4301.77,0.14176065426438753,0.7942290029834659,0
INV_00123,21.0,32181.22,22,3217.7,0.16040901549268624,0.7946587745140798,0
INV_00124,40.9,93216.23,12,9383.56,0.09052527423961655,0.43618411570124616,0
INV_00125,56.9,48784.07,14,4653.55,0.1254917964031888,0.5648516130153305,0
INV_00126,25.1,39276.77,16,3428.32,0.13815101115891926,0.9043736853223083,0
INV_00127,29.3,42440.99,15,5138.34,0.13302579930352176,0.8388277389729977,0
INV_00128,36.0,68499.01,2,7592.3,0.08843759815108161,0.8852388614583777,0
INV_00129,30.0,115194.33,11,13564.71,0.07667482488269667,0.37721186475062257,0
INV_00130,19.5,41632.19,5,4773.78,0.11157597959008149,0.6511337814685271,1
INV_00131,35.7,78514.66,16,7353.05,0.10742016880258143,0.7060293658857046,0
INV_00132,24.4,53491.9,29,4444.54,0.15888684858637514,0.35517115701052776,0
INV_00133,39.7,68910.45,18,7843.99,0.11857737286713346,0.9225096486853026,0
INV_00134,25.8,37168.68,6,2901.88,0.11696205940246199,0.6559131152479608,0
INV_00135,50.5,74364.4,5,8246.18,0.08998204564867192,0.19749794679417695,1
INV_00136,27.2,47010.59,1,3941.14,0.10006459137134262,0.8239608599634972,1
INV_00137,31.8,43301.49,12,4679.31,0.12536164117469625,0.5804195099827767,0
INV_00138,43.1,52491.7,12,4189.42,0.11818377286864422,0.8664083452705809,0
INV_00139,22.7,71042.97,6,7884.18,0.09372545928384098,0.6001748053390948,0
INV_00140,37.3,49455.76,29,3711.9,0.16286691691331395,0.6971552038362602,0
INV_00141,48.1,43487.28,10,4621.69,0.12076538129066694,0.8357189009333731,0
INV_00142,18.9,50215.71,23,4823.73,0.14600150964560066,0.7943802821322518,0
INV_00143,36.8,49650.83,21,5066.89,0.14143488065037502,0.8208811130318067,1
INV_00144,37.6,68155.06,19,6419.7,0.12133644945682488,0.9406382838933887,0
INV_00145,42.8,44726.52,48,4053.39,0.22956843113704387,0.49019681252438724,0
INV_00146,22.6,44235.0,1,4578.28,0.10190533030653906,0.526885895030394,1
INV_00147,21.8,37298.99,2,2727.76,0.10861714756890672,0.8070766134287154,0
INV_00148,40.2,70354.91,26,6027.47,0.13568808783118422,0.7764103091864842,0
INV_00149,38.0,57006.71,9,5342.12,0.10865237470091549,0.56822946802574,0
INV_00150,37.5,94450.8,87,9047.61,0.3165083104634072,0.8841864077818266,0
INV_00151,38.5,88133.16,5,7807.92,0.08207849341579457,0.8631811003141139,0
INV_00152,28.2,59726.82,5,6896.9,0.09913027295143695,0.5486199587463186,1
INV_00153,37.3,50974.31,18,4762.96,0.1329703680158455,0.8234086659884299,0
INV_00154,37.9,53572.14,7,5130.55,0.10709840216597939,0.7254580618570546,0
INV_00155,27.9,40363.81,9,2708.85,0.12099902596194179,0.5174043310256965,0
INV_00156,53.7,37456.77,51,5817.31,0.25052992761642784,0.4445683108415141,0
INV_00157,39.7,35387.84,1,5965.85,0.10797425003221094,0.8619871543627778,0
INV_00158,23.1,49033.2,16,4122.92,0.1298818213378234,0.7101014865253099,0
INV_00159,41.6,22004.19,9,3426.51,0.1360038247869292,0.5464496226526723,0
INV_00160,25.3,112757.76,9,11183.96,0.07503190084675908,0.7997625847642619,0
INV_00161,42.9,33930.48,6,4996.82,0.11942744077651303,0.8967612591499786,0
INV_00162,46.6,129684.92,3,13304.73,0.059568537954111815,0.3834217635617928,0
INV_00163,26.8,34106.58,1,3510.42,0.10887905339375639,0.9359882448338275,0
INV_00164,44.6,53714.17,88,2872.15,0.38896549503339123,0.8541983760950127,0
INV_00165,39.1,64331.32,22,5554.53,0.13123917699116086,0.5543024334498824,0
INV_00166,43.2,55955.79,31,5616.1,0.16201711782246384,0.8340074426882679,0
INV_00167,54.0,41582.28,2,4356.89,0.105624586354524,0.8687578275649604,0
INV_00168,32.5,40735.64,1,2858.73,0.10426879894183581,0.7722731545061163,1
INV_00169,27.5,78960.87,19,7167.32,0.11316902327434482,0.6182720105754212,0
INV_00170,26.1,95919.3,26,10145.38,0.11523746414571248,0.7204359914771583,1
INV_00171,26.8,26145.2,11,1231.31,0.13730001725239574,0.9569604259003316,0
INV_00172,34.2,60272.6,10,6160.99,0.10833908741930429,0.7013502830525996,0
INV_00173,38.4,71317.67,10,8369.72,0.10078751724017164,0.8872266134135264,0
INV_00174,37.8,58264.77,4,6211.95,0.0982462897000298,0.8398368727896804,0
INV_00175,43.3,29612.64,29,3296.75,0.18360757753394744,0.9887030533464268,0
INV_00176,35.1,68515.67,5,4831.42,0.09354244881061696,0.7497300549485647,0
INV_00177,49.5,89103.93,8,8088.48,0.08630007316304315,0.8500295281024194,0
INV_00178,32.4,37063.27,23,5760.53,0.15839310631873887,0.5825577898181553,1
INV_00179,62.2,41385.93,1,3539.43,0.10382595770540255,0.6705738586074381,0
INV_00180,41.3,58769.53,30,7141.43,0.15650463339794787,0.7378808154281009,0
INV_00181,26.4,51632.9,46,4552.45,0.2137549301487306,0.6554814634622356,0
INV_00182,24.3,41480.28,2,3870.21,0.10569499637909838,0.6112464342127097,0
INV_00183,39.8,31876.82,18,3703.27,0.14989325871690518,0.7216141634674411,0
INV_00184,32.8,42997.17,11,4400.41,0.12335851166462572,0.8326323667814622,0
INV_00185,42.1,23759.73,2,2757.49,0.11857026610738262,0.5810213823265891,0
INV_00186,39.7,71951.78,23,6376.79,0.127294392192891,0.9043542881634244,1
INV_00187,34.3,38793.88,19,2743.12,0.14612162077092075,0.6921463519912212,0
INV_00188,26.5,77844.95,21,6898.62,0.11822129249949478,0.6435194173484293,0
INV_00189,19.9,48075.58,34,4275.24,0.17889167942433787,0.6534691523338892,0
INV_00190,30.5,57111.26,7,5481.84,0.10465107124779577,0.69180983627213,0
INV_00191,43.6,27427.37,23,3780.01,0.16800366595261795,0.6133951799760439,0
INV_00192,37.1,74666.75,28,7554.02,0.13683428782074222,0.694662570785641,0
INV_00193,22.5,173659.48,4,17850.54,0.044794995610119175,0.5691095121856684,0
INV_00194,36.7,44849.28,63,4626.53,0.28856409705037,0.9342884633434431,0
INV_00195,38.9,56597.12,9,4544.28,0.10894248952785394,0.9400347744531221,0
INV_00196,26.2,60076.33,26,6024.9,0.14473718384814663,0.8873578251203993,0
INV_00197,36.5,30443.55,29,3175.14,0.18269947919529753,0.31269442970060174,0
INV_00198,35.6,33385.01,15,4098.42,0.14084231192003896,0.7902539210312588,0
INV_00199,23.6,69250.5,3,5856.46,0.08966485596258308,0.5277423173880804,0
INV_00200,38.6,37072.07,7,1666.8,0.11918253000244597,0.5209473365911933,0
INV_00201,40.6,47885.38,6,4964.8,0.109115802787515,0.9588323645509573,0
INV_00202,45.8,57174.85,15,6071.34,0.12109537720561177,0.8559252967256916,0
INV_00203,45.5,70505.17,7,6871.13,0.09583142714599331,0.6516219805713765,0
INV_00204,21.2,49091.09,16,4937.13,0.12983403921441092,0.5631595521379588,0
INV_00205,25.6,49688.85,7,5847.66,0.10984154912251619,0.6778973140149355,0
INV_00206,40.2,158213.71,1,15362.57,0.04702752613388215,0.9237820218291469,0
INV_00207,40.1,84366.39,10,8158.0,0.09247132125835818,0.837924301421675,0
INV_00208,40.2,45407.18,19,4619.75,0.140196351223486,0.3504121227176462,0
INV_00209,70.0,49959.7,30,3776.16,0.1651893697972649,0.6341532883120782,0
INV_00210,40.7,125396.85,1,12387.79,0.05901565775400117,0.9035502970540218,0
INV_00211,46.4,70631.96,6,6999.45,0.09398080205058619,0.5747193626732716,0
INV_00212,44.5,90125.03,85,10649.55,0.3144272157813273,0.8856685773331747,0
INV_00213,41.5,44890.59,7,4190.94,0.11331592494219739,0.9624805090612101,0
INV_00214,31.8,42605.98,31,4460.61,0.17569740087039692,0.859640206546243,0
INV_00215,42.6,108927.44,15,11811.36,0.0862620677183762,0.8179334622848313,0
INV_00216,27.3,51725.42,3,4335.06,0.10067815387252742,0.6883443479420638,0
INV_00217,32.6,51345.09,21,6510.25,0.13993863375832946,0.3573254661651206,0
INV_00218,30.1,43590.01,68,6122.87,0.31215229346828305,0.9624484011730138,1
INV_00219,35.8,88252.39,44,8796.34,0.16642441133606384,0.44858993443878253,0
INV_00220,58.1,58587.86,24,5319.36,0.14101890047294446,0.6674679985736176,0
INV_00221,18.0,32626.78,15,4889.8,0.14151388091482486,0.7428035176945071,0
INV_00222,41.9,41481.2,8,4943.75,0.1179711467216974,0.6416605225025487,0
INV_00223,18.9,98163.19,9,9898.29,0.08277462913649426,0.592591419176788,0
INV_00224,30.3,59267.73,9,7353.62,0.10706307310640831,0.8142345047420104,0
INV_00225,45.9,88721.11,52,10193.1,0.19005409722581068,0.8611408674680228,0
INV_00226,35.6,64687.02,5,6132.45,0.09594107415736604,0.7855823954275164,0
INV_00227,24.2,34263.99,10,3675.13,0.12810426304512018,0.6130218000814741,0
INV_00228,27.8,68209.67,12,7397.76,0.10673219180967132,0.6786369089117513,0
INV_00229,41.8,52305.99,11,5259.33,0.1161910824158599,0.699585099369668,1
INV_00230,27.7,41979.35,1,2807.06,0.10342330001252767,0.5408391240783017,0
INV_00231,37.2,43571.28,7,3418.87,0.11428788301339961,0.6756084575960489,0
INV_00232,35.5,87533.11,14,7395.05,0.09757313359224332,0.6169411988974345,0
INV_00233,28.5,60243.31,29,6517.26,0.1524060460347256,0.7412709996445952,0
INV_00234,56.4,58183.7,17,4634.02,0.12474643622587868,0.6887799293454709,1
INV_00235,41.3,114916.43,10,11684.06,0.07536914665608714,0.5552000428066174,0
INV_00236,18.0,39043.26,22,5736.23,0.15377229363686795,0.881544835405323,0
INV_00237,36.9,51136.71,22,6541.44,0.14262470617211717,0.8799612833883564,0
INV_00238,28.4,40430.28,6,2205.61,0.11452361410352058,0.9016035602644114,0
INV_00239,43.5,67546.56,3,5475.95,0.09068607572953216,0.8325070087351228,0
INV_00240,27.1,58691.9,33,5092.67,0.16492289163025894,0.9279501647059614,1
INV_00241,33.9,45295.37,16,3360.51,0.13299894636625115,0.8748737576399889,0
INV_00242,40.0,47838.27,4,3130.01,0.10520369088283522,0.7504391498033619,0
INV_00243,43.7,83005.38,7,8289.7,0.08820592712459066,0.5569484910050396,1
INV_00244,23.0,94308.52,30,10135.95,0.12519994138889973,0.6848888784992426,0
INV_00245,31.7,41398.9,22,5093.92,0.15154638142146554,0.7567900035791302,0
INV_00246,30.3,177963.87,59,17321.91,0.12376466129001416,0.9268994745639497,0
INV_00247,28.5,30158.76,13,2743.97,0.138717775501748,0.4379042523339131,1
INV_00248,52.7,33753.9,2,3731.07,0.11115002186011562,0.414873991528071,0
INV_00249,39.0,46883.65,25,4579.88,0.15436936520191458,0.7812246845402544,0
INV_00250,22.4,38177.57,6,4628.36,0.11620301995167175,0.9062683971582359,1
INV_00251,44.2,36337.9,8,4064.15,0.12193714077972133,0.7706902656486861,0
INV_00252,56.2,93084.07,5,8932.1,0.0793944954775794,0.8276322182723819,0
INV_00253,45.3,68775.98,8,5020.96,0.0987514694733625,0.8569317669920306,0
INV_00254,19.8,55785.75,36,7077.61,0.1766864062754873,0.688534976799121,0
INV_00255,30.2,42076.53,18,3521.57,0.1406444025897778,0.7726631622062029,0
INV_00256,47.7,34282.78,3,3785.84,0.11281616936277579,0.7297699782618077,0
INV_00257,27.9,33692.89,18,1452.7,0.1482106087725652,0.6849781235697612,0
INV_00258,39.4,92842.11,21,9272.89,0.10726971704437789,0.6864055210032342,0
INV_00259,42.7,90840.81,44,9184.34,0.16381780221153333,0.6979664298789877,0
INV_00260,25.7,47379.97,40,4886.6,0.19859771914669552,0.741759941083045,0
INV_00261,34.4,29350.5,2,5948.84,0.11436797358547697,0.8404909630022517,0
INV_00262,18.0,71769.53,41,6545.83,0.17470667212495775,0.3810003330685372,0
INV_00263,24.8,47458.7,2,5566.53,0.10163741804109372,0.7598472915859322,0
INV_00264,32.5,84860.99,4,9009.33,0.08232632109190816,0.6487745000988274,0
INV_00265,22.5,33491.48,3,2670.51,0.1133960236740249,0.9507079732638906,0
INV_00266,51.3,55575.81,5,6363.25,0.10187136705359508,0.629792468648386,0
INV_00267,20.7,32395.38,33,3075.22,0.1931067486769724,0.49957900343122713,0
INV_00268,30.6,38603.71,24,4735.61,0.15964557236237856,0.7355453832913187,0
INV_00269,36.3,38229.71,24,5783.93,0.16001245242095133,0.5570848718495731,1
INV_00270,49.4,47047.08,52,4855.51,0.24136192127037695,0.9255535529223108,0
INV_00271,20.6,97023.77,10,9421.25,0.08499869846975107,0.6637706476705454,0
INV_00272,46.6,56955.52,1,6747.11,0.09370991386785822,0.8319275665167125,0
INV_00273,35.1,77716.77,21,9168.33,0.11831893837140461,0.8433924178352391,0
INV_00274,25.2,55299.14,41,4646.66,0.19273851308646653,0.7625959561555228,0
INV_00275,39.6,44208.67,75,3967.91,0.3429296567524335,0.836496158782908,0
INV_00276,37.0,24524.85,10,3127.91,0.13626313502977377,0.8967376033402583,0
INV_00277,29.0,34151.35,35,3283.1,0.19757207026027448,0.5850910732594458,0
INV_00278,35.7,53339.12,38,4379.58,0.18544995592876296,0.7484190418746348,0
INV_00279,31.1,57791.49,4,6319.84,0.09855301485158377,0.8430806469998611,0
INV_00280,36.1,85019.23,20,9173.41,0.11081826063463084,0.575138396059197,0
INV_00281,41.6,27098.44,4,2375.46,0.12034237532255752,0.7431521497475297,1
INV_00282,50.9,143335.81,12,14394.93,0.06456345106004317,0.6166339912500505,0
INV_00283,22.6,24460.28,43,1869.46,0.23761566204221324,0.7462656799625198,0
INV_00284,56.3,51754.59,32,4080.22,0.16910451387749706,0.5325976010936254,1
INV_00285,18.0,40805.94,17,3583.53,0.1392797714708619,0.8102884459333001,0
INV_00286,33.5,34379.75,34,3511.91,0.19406254220593094,0.4420673859813597,0
INV_00287,40.9,111040.16,4,9628.93,0.06898466604562462,0.7771273367257786,0
INV_00288,37.8,41503.78,5,3726.36,0.11166900153243077,0.9042959611941495,0
INV_00289,28.8,26535.73,5,2741.4,0.12298488531858903,0.6414534697118465,0
INV_00290,32.9,30793.23,30,4273.98,0.1854122897134377,0.9047258683628138,1
INV_00291,30.1,90458.56,45,8733.26,0.16704994877547413,0.7456822721808124,0
INV_00292,29.1,31306.79,17,1884.78,0.14780859675060923,0.726274582775019,0
INV_00293,43.5,28742.96,64,2664.64,0.3177585395562332,0.764558024936261,0
INV_00294,38.6,58316.86,27,5265.12,0.14893004419771383,0.9558951123619878,0
INV_00295,28.1,46896.67,17,5241.85,0.1340310003876182,0.8613680000838153,0
INV_00296,44.0,66303.54,19,6292.45,0.12278585230421844,0.729149696680461,0
INV_00297,38.1,44295.96,38,1719.03,0.19563696100532205,0.8427039296496686,1
INV_00298,43.1,75322.08,2,11223.83,0.08450101070164434,0.6904836975078469,0
INV_00299,41.3,29799.47,4,3122.31,0.11826923008909503,0.7803329295651634,0
INV_00300,26.7,28040.16,7,2893.21,0.12628471051623663,0.871370848107187,1
INV_00301,29.4,60921.44,46,4550.73,0.20257271856683645,0.7052613499945647,0
INV_00302,42.5,46927.85,58,3228.22,0.2649017909627069,0.7919107873828249,0
INV_00303,41.1,43246.29,9,4232.68,0.11877728411771678,0.6345315231023118,0
INV_00304,34.8,71749.79,52,7511.15,0.20987448350941446,0.5640574565843868,0
INV_00305,36.2,154964.84,16,16198.6,0.06441403980538052,0.7672168163073689,0
INV_00306,47.8,98926.88,13,10130.13,0.08880320070123071,0.7245860266562161,0
INV_00307,29.1,73316.42,36,6145.7,0.15882144263261208,0.6482701885281202,0
INV_00308,40.5,42421.75,16,1737.71,0.13543824338478494,0.8969257038752192,0
INV_00309,33.0,115581.78,13,11457.96,0.07943845552744024,0.6315207455177616,0
INV_00310,32.8,30853.99,1,2551.42,0.11120589973911177,0.7318995026974643,0
INV_00311,46.0,65145.52,1,5251.98,0.08875080356902966,0.8654243238599008,0
INV_00312,43.3,48747.57,20,5702.82,0.13974093996510537,0.8789233258585358,0
INV_00313,43.1,42425.14,2,2666.94,0.10504434884385452,0.93852566298349,0
INV_00314,48.1,32385.47,27,3855.52,0.17456876194300436,0.6423244362869729,0
INV_00315,35.2,190596.46,20,17649.51,0.05449251665075061,0.8223762896065413,0
INV_00316,41.8,42270.6,13,4361.15,0.12848078720975314,0.908084921230826,1
INV_00317,31.9,22602.74,25,3194.25,0.17896714937893918,0.7597397386713509,1
INV_00318,38.2,79537.96,100,7615.86,0.40302311053192785,0.6349473789866302,0
INV_00319,33.7,62347.2,6,7924.64,0.099262212000296,0.8341776869151047,0
INV_00320,36.0,46628.28,17,6580.71,0.13425872457599414,0.8329147741756143,0
INV_00321,41.0,44643.92,38,4701.57,0.19523728336333127,0.7318256219773644,0
INV_00322,26.8,51280.58,1,5669.44,0.09729048353680281,0.4172177698663241,0
INV_00323,55.9,79887.87,5,9049.5,0.08673223431046968,0.8787971292850538,0
INV_00324,24.9,62785.52,15,6822.98,0.11680045553840639,0.6449089687254546,0
INV_00325,22.9,67985.38,17,7235.78,0.11713632429205002,0.9292979620594295,1
INV_00326,46.6,67967.15,2,6272.65,0.08875131911321418,0.3821239867326088,0
INV_00327,42.9,81781.43,11,6490.79,0.09584013028750055,0.5692264152549962,0
INV_00328,41.2,94413.91,15,8051.3,0.0949936798271417,0.6239142084861895,0
INV_00329,41.3,38941.72,11,6276.54,0.1265981369979854,0.9081925882681631,0
INV_00330,34.9,58282.73,25,6150.73,0.14380924625411937,0.6641323723440488,0
INV_00331,26.0,92050.46,30,8959.36,0.12701778657402704,0.3468017550784117,0
